"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"9ffb5bba-ff4d-496c-9974-9d3dd270374f"	"2024-02-14T01:03:56+00:00"	"2.5"	"37784"	"13360"	"1184"	"15000"	"0.486"	"0.164"	"1.64"	"1.637"	"-5000"	"-5000"	"-48606"	"-60668"
"9ffb5bba-ff4d-496c-9974-9d3dd270374f"	"2024-02-14T01:03:56+00:00"	"50"	"38560"	"11200"	"304"	"15000"	"0.42"	"0.138"	"1.635"	"1.632"	"-5000"	"-5000"	"-51846"	"-62626"
"9ffb5bba-ff4d-496c-9974-9d3dd270374f"	"2024-02-14T01:03:56+00:00"	"97.5"	"39336"	"9040"	"0"	"15000"	"0.357"	"0.127"	"1.63"	"1.627"	"-5000"	"-5000"	"-55078"	"-64000"
"30b8a215-156c-4534-a4f7-2fc4179fe2d5"	"2024-02-14T01:03:56+00:00"	"2.5"	"37692"	"14800"	"10920"	"15000"	"0.525"	"0.422"	"1.64"	"1.637"	"-5000"	"-5000"	"-47015"	"-50782"
"30b8a215-156c-4534-a4f7-2fc4179fe2d5"	"2024-02-14T01:03:56+00:00"	"50"	"39696"	"12640"	"7968"	"15000"	"0.444"	"0.327"	"1.635"	"1.632"	"-5000"	"-5000"	"-52263"	"-56816"
"30b8a215-156c-4534-a4f7-2fc4179fe2d5"	"2024-02-14T01:03:56+00:00"	"97.5"	"41700"	"10480"	"5016"	"15000"	"0.371"	"0.24"	"1.63"	"1.627"	"-5000"	"-5000"	"-57491"	"-62830"
"a95a5262-38c6-4d36-846d-bed0b54c7077"	"2024-02-14T01:03:56+00:00"	"2.5"	"36748"	"7512"	"3788"	"15000"	"0.34"	"0.239"	"1.64"	"1.637"	"-5000"	"-5000"	"-52755"	"-56368"
"a95a5262-38c6-4d36-846d-bed0b54c7077"	"2024-02-14T01:03:56+00:00"	"50"	"37536"	"6368"	"2336"	"15000"	"0.303"	"0.195"	"1.635"	"1.632"	"-5000"	"-5000"	"-55003"	"-58923"
"a95a5262-38c6-4d36-846d-bed0b54c7077"	"2024-02-14T01:03:56+00:00"	"97.5"	"38324"	"5224"	"884"	"15000"	"0.267"	"0.154"	"1.63"	"1.627"	"-5000"	"-5000"	"-57244"	"-61469"
"7ee0998e-b210-4de0-b864-f71abe37a56a"	"2024-02-14T01:03:56+00:00"	"2.5"	"42492"	"8524"	"9714"	"15000"	"0.318"	"0.346"	"1.64"	"1.637"	"-5000"	"-5000"	"-61163"	"-59845"
"7ee0998e-b210-4de0-b864-f71abe37a56a"	"2024-02-14T01:03:56+00:00"	"50"	"43416"	"7584"	"8068"	"15000"	"0.29"	"0.301"	"1.635"	"1.632"	"-5000"	"-5000"	"-63401"	"-62787"
"7ee0998e-b210-4de0-b864-f71abe37a56a"	"2024-02-14T01:03:56+00:00"	"97.5"	"44340"	"6644"	"6422"	"15000"	"0.263"	"0.258"	"1.63"	"1.627"	"-5000"	"-5000"	"-65630"	"-65719"
