"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"4228ed8a-904a-4eba-b2b3-65b7dcfbb401"	"2024-03-01T00:41:16+00:00"	"2.5"	"47552"	"39944"	"37912"	"15000"	"0.945"	"0.902"	"1.64"	"1.637"	"-5000"	"-5000"	"-38041"	"-39931"
"4228ed8a-904a-4eba-b2b3-65b7dcfbb401"	"2024-03-01T00:41:16+00:00"	"50"	"48256"	"38960"	"37368"	"15000"	"0.911"	"0.878"	"1.635"	"1.632"	"-5000"	"-5000"	"-39939"	"-41386"
"4228ed8a-904a-4eba-b2b3-65b7dcfbb401"	"2024-03-01T00:41:16+00:00"	"97.5"	"48960"	"37976"	"36824"	"15000"	"0.878"	"0.854"	"1.63"	"1.627"	"-5000"	"-5000"	"-41829"	"-42834"
"abb91374-58dc-4366-8427-01faf6bb731d"	"2024-03-01T00:41:16+00:00"	"2.5"	"48496"	"32168"	"32104"	"15000"	"0.766"	"0.765"	"1.64"	"1.637"	"-5000"	"-5000"	"-47365"	"-47284"
"abb91374-58dc-4366-8427-01faf6bb731d"	"2024-03-01T00:41:16+00:00"	"50"	"48960"	"30984"	"31200"	"15000"	"0.735"	"0.739"	"1.635"	"1.632"	"-5000"	"-5000"	"-49066"	"-48703"
"abb91374-58dc-4366-8427-01faf6bb731d"	"2024-03-01T00:41:16+00:00"	"97.5"	"49424"	"29800"	"30296"	"15000"	"0.704"	"0.714"	"1.63"	"1.627"	"-5000"	"-5000"	"-50761"	"-50117"
"a45b4cf5-3aaf-4a68-8d8e-e3feac558dde"	"2024-03-01T00:41:16+00:00"	"2.5"	"56200"	"35778"	"35548"	"15000"	"0.726"	"0.721"	"1.64"	"1.637"	"-5000"	"-5000"	"-56390"	"-56451"
"a45b4cf5-3aaf-4a68-8d8e-e3feac558dde"	"2024-03-01T00:41:16+00:00"	"50"	"56784"	"34564"	"34972"	"15000"	"0.697"	"0.704"	"1.635"	"1.632"	"-5000"	"-5000"	"-58278"	"-57699"
"a45b4cf5-3aaf-4a68-8d8e-e3feac558dde"	"2024-03-01T00:41:16+00:00"	"97.5"	"57368"	"33350"	"34396"	"15000"	"0.668"	"0.687"	"1.63"	"1.627"	"-5000"	"-5000"	"-60160"	"-58942"
"ecd42b82-bbbd-448e-ac2a-991833898ffe"	"2024-03-01T00:41:16+00:00"	"2.5"	"59292"	"40408"	"41504"	"15000"	"0.766"	"0.784"	"1.64"	"1.637"	"-5000"	"-5000"	"-56831"	"-55557"
"ecd42b82-bbbd-448e-ac2a-991833898ffe"	"2024-03-01T00:41:16+00:00"	"50"	"59740"	"39480"	"40864"	"15000"	"0.745"	"0.768"	"1.635"	"1.632"	"-5000"	"-5000"	"-58195"	"-56632"
"ecd42b82-bbbd-448e-ac2a-991833898ffe"	"2024-03-01T00:41:16+00:00"	"97.5"	"60188"	"38552"	"40224"	"15000"	"0.724"	"0.751"	"1.63"	"1.627"	"-5000"	"-5000"	"-59554"	"-57702"
"9197e20d-88f5-4ecf-ac07-177f7b85888f"	"2024-03-01T00:41:17+00:00"	"2.5"	"59272"	"43536"	"42430"	"15000"	"0.819"	"0.8"	"1.64"	"1.637"	"-5000"	"-5000"	"-53670"	"-54598"
"9197e20d-88f5-4ecf-ac07-177f7b85888f"	"2024-03-01T00:41:17+00:00"	"50"	"59704"	"42496"	"41560"	"15000"	"0.796"	"0.78"	"1.635"	"1.632"	"-5000"	"-5000"	"-55120"	"-55877"
"9197e20d-88f5-4ecf-ac07-177f7b85888f"	"2024-03-01T00:41:17+00:00"	"97.5"	"60136"	"41456"	"40690"	"15000"	"0.773"	"0.76"	"1.63"	"1.627"	"-5000"	"-5000"	"-56566"	"-57151"
"c9fe6f86-f291-41a5-85b3-3bc738169080"	"2024-03-01T00:41:17+00:00"	"2.5"	"59284"	"41336"	"42284"	"15000"	"0.782"	"0.798"	"1.64"	"1.637"	"-5000"	"-5000"	"-55890"	"-54764"
"c9fe6f86-f291-41a5-85b3-3bc738169080"	"2024-03-01T00:41:17+00:00"	"50"	"60020"	"40552"	"40484"	"15000"	"0.759"	"0.758"	"1.635"	"1.632"	"-5000"	"-5000"	"-57581"	"-57469"
"c9fe6f86-f291-41a5-85b3-3bc738169080"	"2024-03-01T00:41:17+00:00"	"97.5"	"60756"	"39768"	"38684"	"15000"	"0.737"	"0.719"	"1.63"	"1.627"	"-5000"	"-5000"	"-59264"	"-60166"
"0c1fe625-e055-4a18-ab27-7f5294b917cd"	"2024-03-01T00:41:17+00:00"	"2.5"	"59600"	"51472"	"44864"	"15000"	"0.948"	"0.837"	"1.64"	"1.637"	"-5000"	"-5000"	"-46272"	"-52701"
"0c1fe625-e055-4a18-ab27-7f5294b917cd"	"2024-03-01T00:41:17+00:00"	"50"	"60032"	"49296"	"41984"	"15000"	"0.904"	"0.783"	"1.635"	"1.632"	"-5000"	"-5000"	"-48856"	"-55988"
"0c1fe625-e055-4a18-ab27-7f5294b917cd"	"2024-03-01T00:41:17+00:00"	"97.5"	"60464"	"47120"	"39104"	"15000"	"0.862"	"0.729"	"1.63"	"1.627"	"-5000"	"-5000"	"-51436"	"-59271"
"16b11722-5b89-4a9b-8b27-2c47bcdbc20a"	"2024-03-01T00:41:18+00:00"	"2.5"	"58960"	"36640"	"30912"	"15000"	"0.706"	"0.609"	"1.64"	"1.637"	"-5000"	"-5000"	"-60054"	"-65606"
"16b11722-5b89-4a9b-8b27-2c47bcdbc20a"	"2024-03-01T00:41:18+00:00"	"50"	"59424"	"33968"	"28368"	"15000"	"0.656"	"0.562"	"1.635"	"1.632"	"-5000"	"-5000"	"-63190"	"-68612"
"16b11722-5b89-4a9b-8b27-2c47bcdbc20a"	"2024-03-01T00:41:18+00:00"	"97.5"	"59888"	"31296"	"25824"	"15000"	"0.606"	"0.515"	"1.63"	"1.627"	"-5000"	"-5000"	"-66321"	"-71614"
"5d9dff13-1a25-40dd-8062-49b87465253b"	"2024-03-01T00:41:18+00:00"	"2.5"	"58608"	"44156"	"40368"	"15000"	"0.839"	"0.774"	"1.64"	"1.637"	"-5000"	"-5000"	"-51961"	"-55573"
"5d9dff13-1a25-40dd-8062-49b87465253b"	"2024-03-01T00:41:18+00:00"	"50"	"59088"	"41704"	"38448"	"15000"	"0.79"	"0.735"	"1.635"	"1.632"	"-5000"	"-5000"	"-54905"	"-57984"
"5d9dff13-1a25-40dd-8062-49b87465253b"	"2024-03-01T00:41:18+00:00"	"97.5"	"59568"	"39252"	"36528"	"15000"	"0.743"	"0.697"	"1.63"	"1.627"	"-5000"	"-5000"	"-57844"	"-60389"
"70aa240a-113c-41fd-adfd-a2d27466785e"	"2024-03-01T00:41:18+00:00"	"2.5"	"58144"	"44720"	"43712"	"15000"	"0.855"	"0.838"	"1.64"	"1.637"	"-5000"	"-5000"	"-50636"	"-51470"
"70aa240a-113c-41fd-adfd-a2d27466785e"	"2024-03-01T00:41:18+00:00"	"50"	"58560"	"43872"	"42848"	"15000"	"0.835"	"0.817"	"1.635"	"1.632"	"-5000"	"-5000"	"-51874"	"-52722"
"70aa240a-113c-41fd-adfd-a2d27466785e"	"2024-03-01T00:41:18+00:00"	"97.5"	"58976"	"43024"	"41984"	"15000"	"0.814"	"0.797"	"1.63"	"1.627"	"-5000"	"-5000"	"-53107"	"-53970"
