instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
130	TN450	83904c85-6714-4dc0-b3b9-d8a692210dbf	2026-04-10T17:55:51+00:00	2.5	54636.0	37676.0	36400.0	10000.0	0.69	0.666	1.64	1.637	0.0	0.0	-51927.0	-53039.0
130	TN450	83904c85-6714-4dc0-b3b9-d8a692210dbf	2026-04-10T17:55:51+00:00	50.0	54960.0	37456.0	35728.0	10000.0	0.682	0.65	1.635	1.632	0.0	0.0	-52403.0	-53966.0
130	TN450	83904c85-6714-4dc0-b3b9-d8a692210dbf	2026-04-10T17:55:51+00:00	97.5	55264.0	37208.0	35152.0	10000.0	0.673	0.636	1.63	1.627	0.0	0.0	-52872.0	-54762.0
130	TN450	d64da328-c751-4930-8f28-d5e87cfc0829	2026-04-10T17:55:51+00:00	2.5	54560.0	37792.0	36016.0	10000.0	0.693	0.66	1.64	1.637	0.0	0.0	-51686.0	-53298.0
130	TN450	d64da328-c751-4930-8f28-d5e87cfc0829	2026-04-10T17:55:51+00:00	50.0	54944.0	37440.0	35296.0	10000.0	0.681	0.642	1.635	1.632	0.0	0.0	-52393.0	-54372.0
130	TN450	d64da328-c751-4930-8f28-d5e87cfc0829	2026-04-10T17:55:51+00:00	97.5	55312.0	37184.0	34576.0	10000.0	0.672	0.625	1.63	1.627	0.0	0.0	-52974.0	-55416.0
130	TN450	5242dffa-7629-459a-9c26-3321d2f61123	2026-04-10T17:55:51+00:00	2.5	54480.0	37792.0	35904.0	10000.0	0.694	0.659	1.64	1.637	0.0	0.0	-51555.0	-53279.0
130	TN450	5242dffa-7629-459a-9c26-3321d2f61123	2026-04-10T17:55:51+00:00	50.0	54912.0	37392.0	35112.0	10000.0	0.681	0.639	1.635	1.632	0.0	0.0	-52389.0	-54504.0
130	TN450	5242dffa-7629-459a-9c26-3321d2f61123	2026-04-10T17:55:51+00:00	97.5	55232.0	37088.0	34268.0	10000.0	0.671	0.62	1.63	1.627	0.0	0.0	-52940.0	-55594.0
130	TN450	7a0797e4-6a38-4dfd-ab71-8c1f6f77b113	2026-04-10T17:55:51+00:00	2.5	54944.0	37872.0	36352.0	10000.0	0.689	0.662	1.64	1.637	0.0	0.0	-52236.0	-53591.0
130	TN450	7a0797e4-6a38-4dfd-ab71-8c1f6f77b113	2026-04-10T17:55:51+00:00	50.0	55376.0	37520.0	35600.0	10000.0	0.678	0.643	1.635	1.632	0.0	0.0	-53019.0	-54773.0
130	TN450	7a0797e4-6a38-4dfd-ab71-8c1f6f77b113	2026-04-10T17:55:51+00:00	97.5	55712.0	37248.0	34640.0	10000.0	0.669	0.622	1.63	1.627	0.0	0.0	-53562.0	-56003.0
130	TN450	bfcd6d8a-aace-452a-a92f-012af951381a	2026-04-10T17:55:51+00:00	2.5	56432.0	39756.0	37584.0	10000.0	0.704	0.666	1.64	1.637	0.0	0.0	-52792.0	-54795.0
130	TN450	bfcd6d8a-aace-452a-a92f-012af951381a	2026-04-10T17:55:51+00:00	50.0	56784.0	39240.0	36576.0	10000.0	0.691	0.644	1.635	1.632	0.0	0.0	-53601.0	-56095.0
130	TN450	bfcd6d8a-aace-452a-a92f-012af951381a	2026-04-10T17:55:51+00:00	97.5	57120.0	38832.0	35792.0	10000.0	0.68	0.627	1.63	1.627	0.0	0.0	-54273.0	-57142.0
130	TN450	608e7f11-b9b5-48f0-bd1b-7b37993f033f	2026-04-10T17:55:51+00:00	2.5	55104.0	38508.0	37920.0	10000.0	0.699	0.688	1.64	1.637	0.0	0.0	-51862.0	-52285.0
130	TN450	608e7f11-b9b5-48f0-bd1b-7b37993f033f	2026-04-10T17:55:51+00:00	50.0	55552.0	37952.0	36872.0	10000.0	0.683	0.664	1.635	1.632	0.0	0.0	-52875.0	-53788.0
130	TN450	608e7f11-b9b5-48f0-bd1b-7b37993f033f	2026-04-10T17:55:51+00:00	97.5	55968.0	37604.0	35764.0	10000.0	0.672	0.639	1.63	1.627	0.0	0.0	-53623.0	-55295.0
130	TN450	f057446f-028f-4d8b-85c7-dab908b0d31f	2026-04-10T17:55:51+00:00	2.5	54256.0	37712.0	35840.0	10000.0	0.695	0.661	1.64	1.637	0.0	0.0	-51267.0	-52977.0
130	TN450	f057446f-028f-4d8b-85c7-dab908b0d31f	2026-04-10T17:55:51+00:00	50.0	54672.0	37200.0	35040.0	10000.0	0.68	0.641	1.635	1.632	0.0	0.0	-52188.0	-54184.0
130	TN450	f057446f-028f-4d8b-85c7-dab908b0d31f	2026-04-10T17:55:51+00:00	97.5	55056.0	36704.0	34320.0	10000.0	0.667	0.623	1.63	1.627	0.0	0.0	-53037.0	-55256.0
130	TN450	6255a512-d5c6-49b0-ad62-8c4fe8566531	2026-04-10T17:55:51+00:00	2.5	54364.0	37396.0	36336.0	10000.0	0.688	0.668	1.64	1.637	0.0	0.0	-51760.0	-52657.0
130	TN450	6255a512-d5c6-49b0-ad62-8c4fe8566531	2026-04-10T17:55:51+00:00	50.0	54752.0	36992.0	35552.0	10000.0	0.676	0.649	1.635	1.632	0.0	0.0	-52527.0	-53803.0
130	TN450	6255a512-d5c6-49b0-ad62-8c4fe8566531	2026-04-10T17:55:51+00:00	97.5	55060.0	36572.0	34688.0	10000.0	0.664	0.63	1.63	1.627	0.0	0.0	-53175.0	-54894.0
130	TN450	70d694fd-e106-4eff-808a-bf23d8f2badf	2026-04-10T17:55:51+00:00	2.5	54512.0	37408.0	36464.0	10000.0	0.686	0.669	1.64	1.637	0.0	0.0	-51991.0	-52772.0
130	TN450	70d694fd-e106-4eff-808a-bf23d8f2badf	2026-04-10T17:55:51+00:00	50.0	54896.0	37024.0	35392.0	10000.0	0.674	0.645	1.635	1.632	0.0	0.0	-52730.0	-54198.0
130	TN450	70d694fd-e106-4eff-808a-bf23d8f2badf	2026-04-10T17:55:51+00:00	97.5	55232.0	36720.0	34544.0	10000.0	0.665	0.625	1.63	1.627	0.0	0.0	-53308.0	-55318.0
130	TN450	8dba183a-9089-466c-8d20-f724377a6782	2026-04-10T17:55:51+00:00	2.5	54656.0	37740.0	35616.0	10000.0	0.691	0.652	1.64	1.637	0.0	0.0	-51895.0	-53855.0
130	TN450	8dba183a-9089-466c-8d20-f724377a6782	2026-04-10T17:55:51+00:00	50.0	54992.0	37328.0	34696.0	10000.0	0.679	0.631	1.635	1.632	0.0	0.0	-52583.0	-55050.0
130	TN450	8dba183a-9089-466c-8d20-f724377a6782	2026-04-10T17:55:51+00:00	97.5	55312.0	36880.0	34052.0	10000.0	0.667	0.616	1.63	1.627	0.0	0.0	-53278.0	-55940.0
130	TN450	39c0f7d6-d587-4814-b979-ef79fd5f6c1f	2026-04-10T17:55:51+00:00	2.5	54492.0	37792.0	36672.0	10000.0	0.694	0.673	1.64	1.637	0.0	0.0	-51574.0	-52531.0
130	TN450	39c0f7d6-d587-4814-b979-ef79fd5f6c1f	2026-04-10T17:55:51+00:00	50.0	54920.0	37344.0	35392.0	10000.0	0.68	0.644	1.635	1.632	0.0	0.0	-52450.0	-54237.0
130	TN450	39c0f7d6-d587-4814-b979-ef79fd5f6c1f	2026-04-10T17:55:51+00:00	97.5	55296.0	36960.0	34416.0	10000.0	0.668	0.622	1.63	1.627	0.0	0.0	-53172.0	-55550.0
130	TN450	b5d61b58-8e9b-4888-b387-03f3cf4224fd	2026-04-10T17:55:51+00:00	2.5	54508.0	37456.0	37408.0	10000.0	0.687	0.686	1.64	1.637	0.0	0.0	-51937.0	-51821.0
130	TN450	b5d61b58-8e9b-4888-b387-03f3cf4224fd	2026-04-10T17:55:51+00:00	50.0	54928.0	37008.0	36288.0	10000.0	0.674	0.661	1.635	1.632	0.0	0.0	-52799.0	-53354.0
130	TN450	b5d61b58-8e9b-4888-b387-03f3cf4224fd	2026-04-10T17:55:51+00:00	97.5	55232.0	36704.0	35232.0	10000.0	0.665	0.638	1.63	1.627	0.0	0.0	-53324.0	-54630.0
130	TN450	8381d24c-ba2b-4efa-9827-215f8a4efb46	2026-04-10T17:55:51+00:00	2.5	54960.0	37580.0	37408.0	10000.0	0.684	0.681	1.64	1.637	0.0	0.0	-52554.0	-52561.0
130	TN450	8381d24c-ba2b-4efa-9827-215f8a4efb46	2026-04-10T17:55:51+00:00	50.0	55360.0	37224.0	36640.0	10000.0	0.672	0.662	1.635	1.632	0.0	0.0	-53289.0	-53707.0
130	TN450	8381d24c-ba2b-4efa-9827-215f8a4efb46	2026-04-10T17:55:51+00:00	97.5	55728.0	36912.0	35920.0	10000.0	0.662	0.645	1.63	1.627	0.0	0.0	-53924.0	-54749.0
130	TN450	e08c678b-e6e6-470c-87a2-a0686d3eb05c	2026-04-10T17:55:51+00:00	2.5	55056.0	38032.0	37200.0	10000.0	0.691	0.676	1.64	1.637	0.0	0.0	-52259.0	-52926.0
130	TN450	e08c678b-e6e6-470c-87a2-a0686d3eb05c	2026-04-10T17:55:51+00:00	50.0	55440.0	37712.0	36144.0	10000.0	0.68	0.652	1.635	1.632	0.0	0.0	-52932.0	-54334.0
130	TN450	e08c678b-e6e6-470c-87a2-a0686d3eb05c	2026-04-10T17:55:51+00:00	97.5	55824.0	37312.0	35216.0	10000.0	0.668	0.631	1.63	1.627	0.0	0.0	-53681.0	-55609.0
130	TN450	f2ec9b02-b97e-451a-aba4-9686131600cd	2026-04-10T17:55:51+00:00	2.5	54960.0	38080.0	36432.0	10000.0	0.693	0.663	1.64	1.637	0.0	0.0	-52054.0	-53537.0
130	TN450	f2ec9b02-b97e-451a-aba4-9686131600cd	2026-04-10T17:55:51+00:00	50.0	55328.0	37792.0	35600.0	10000.0	0.683	0.643	1.635	1.632	0.0	0.0	-52669.0	-54695.0
130	TN450	f2ec9b02-b97e-451a-aba4-9686131600cd	2026-04-10T17:55:51+00:00	97.5	55696.0	37424.0	34912.0	10000.0	0.672	0.627	1.63	1.627	0.0	0.0	-53360.0	-55705.0
130	TN450	1a4ed1cf-6426-41c8-90b7-47cc152a3c42	2026-04-10T17:55:51+00:00	2.5	54300.0	38272.0	37024.0	10000.0	0.705	0.682	1.64	1.637	0.0	0.0	-50780.0	-51865.0
130	TN450	1a4ed1cf-6426-41c8-90b7-47cc152a3c42	2026-04-10T17:55:51+00:00	50.0	54704.0	36936.0	36112.0	10000.0	0.675	0.66	1.635	1.632	0.0	0.0	-52505.0	-53164.0
130	TN450	1a4ed1cf-6426-41c8-90b7-47cc152a3c42	2026-04-10T17:55:51+00:00	97.5	55172.0	36244.0	35056.0	10000.0	0.657	0.635	1.63	1.627	0.0	0.0	-53686.0	-54708.0
130	TN450	5ec0a0de-ee63-4ee4-9240-d4a7e72c32e0	2026-04-10T17:55:51+00:00	2.5	53712.0	36704.0	35392.0	10000.0	0.683	0.659	1.64	1.637	0.0	0.0	-51383.0	-52534.0
130	TN450	5ec0a0de-ee63-4ee4-9240-d4a7e72c32e0	2026-04-10T17:55:51+00:00	50.0	54112.0	36352.0	34512.0	10000.0	0.672	0.638	1.635	1.632	0.0	0.0	-52121.0	-53798.0
130	TN450	5ec0a0de-ee63-4ee4-9240-d4a7e72c32e0	2026-04-10T17:55:51+00:00	97.5	54512.0	36064.0	33712.0	10000.0	0.662	0.618	1.63	1.627	0.0	0.0	-52790.0	-54979.0
